key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,month,weekday,distance_km
2009-01-01 00:35:03.0000001,16.5,2009-01-01 00:35:03+00:00,-73.991938,40.738414,-74.003499,40.683326,1,0,1,3,6.202528574240361
2009-01-01 00:41:00.0000003,6.2,2009-01-01 00:41:00+00:00,-73.994202,40.751008,-73.985817,40.750577,2,0,1,3,0.7079460619342457
2009-01-01 00:47:26.0000007,5.4,2009-01-01 00:47:26+00:00,-73.987324,40.749571,-73.976034,40.741951,1,0,1,3,1.2737813136388683
2009-01-01 01:21:54.0000002,4.9,2009-01-01 01:21:54+00:00,-73.95181,40.714897,-73.962162,40.709354,4,1,1,3,1.06826310127247
2009-01-01 01:22:54.0000003,10.6,2009-01-01 01:22:54+00:00,-73.976392,40.78815,-73.963416,40.761921,2,1,1,3,3.1144898537283816
2009-01-01 01:31:49.0000003,8.6,2009-01-01 01:31:49+00:00,-73.994192,40.720077,-73.993356,40.742642,1,1,1,3,2.5101021407128954
2009-01-01 02:05:37.0000004,11.0,2009-01-01 02:05:37+00:00,-73.978433,40.744781,-74.004713,40.734328,1,2,1,3,2.5006509174427527
2009-01-01 02:07:49.0000001,17.8,2009-01-01 02:07:49+00:00,-73.984291,40.667851,-74.006015,40.735481,3,2,1,3,7.7398814702085454
2009-01-01 02:51:52.0000002,10.2,2009-01-01 02:51:52+00:00,-73.956172,40.771965,-73.991027,40.751035,2,2,1,3,3.7462029468852345
2009-01-01 03:00:28.0000002,33.8,2009-01-01 03:00:28+00:00,-73.97025,40.784872,-73.991262,40.690836,1,3,1,3,10.60513006058954
2009-01-01 03:04:38.0000001,9.4,2009-01-01 03:04:38+00:00,-73.948856,40.772471,-73.974714,40.755135,1,3,1,3,2.908360664486184
2009-01-01 03:31:36.0000001,15.4,2009-01-01 03:31:36+00:00,-73.980325,40.734579,-74.014711,40.717868,3,3,1,3,3.442243558571464
